Nr,Rendi,Familja,Lloji,"Referenca"
1,Artiodactyla ,Bovidae ,"Rupicapra rupicapra (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
2,Artiodactyla ,Cervidae ,"Capreolus capreolus (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
3,Artiodactyla ,Cervidae ,"Cervus elaphus Linnaeus, 1758","(Veselaj et al., 2012)"
4,Artiodactyla ,Suidae,"Sus scrofa Linnaeus, 1758","(Ibrahimi et al., 2019)"
5,Carnivora ,Canidae ,"Canis aureus Linnaeus, 1758","(Ibrahimi et al., 2019)"
6,Carnivora ,Canidae ,"Canis lupus Linnaeus, 1758","(Ibrahimi et al., 2019)"
7,Carnivora ,Canidae ,"Vulpes vulpes (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
8,Carnivora ,Felidae,"Felis silvestris Schreber, 1777","(Ibrahimi et al., 2019)"
9,Carnivora ,Felidae ,"Lynx lynx balcanicus Buresh, 1941","(Ibrahimi et al., 2019)"
10,Carnivora ,Mustelidae ,"Lutra lutra (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
11,Carnivora ,Mustelidae ,"Martes foina (Erxleben, 1777)","(Ibrahimi et al., 2019)"
12,Carnivora ,Mustelidae ,"Martes martes (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
13,Carnivora ,Mustelidae ,"Meles meles (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
14,Carnivora ,Mustelidae ,"Mustela erminea Linnaeus, 1758","(Ibrahimi et al., 2019)"
15,Carnivora ,Mustelidae ,"Mustela nivalis Linnaeus, 1766","(Ibrahimi et al., 2019)"
16,Carnivora ,Mustelidae ,"Mustela putorius Linnaeus, 1758","(Ibrahimi et al., 2019)"
17,Carnivora ,Ursidae ,"Ursus arctos Linnaeus, 1758","(Ibrahimi et al., 2019)"
18,Chiroptera ,Molossidae,"Tadarida teniotis (Rafinesque, 1814)","(Presetnik et al., 2018)"
19,Chiroptera ,Rhinolophidae ,"Rhinolophus blasii (Peters, 1866)","(Ibrahimi et al., 2019)"
20,Chiroptera ,Rhinolophidae ,"Rhinolophus euryale Blasius,1853","(Ibrahimi et al., 2019)"
21,Chiroptera ,Rhinolophidae ,"Rhinolophus ferrumequinum (Schreber, 1774)","(Ibrahimi et al., 2019)"
22,Chiroptera ,Rhinolophidae ,"Rhinolophus hipposideros (Bechstein, 1800)","(Ibrahimi et al., 2019)"
23,Chiroptera ,Vespertilionidae ,"Eptesicus (Eptesicus) serotinus (Schreber, 1774)","(Presetnik et al., 2018)"
24,Chiroptera ,Vespertilionidae ,"Hypsugo savii (Bonaparte, 1837)","(Battersby, 2010)"
25,Chiroptera ,Vespertilionidae ,"Miniopterus schreibersii (Kuhl, 1817)","(Ibrahimi et al., 2019)"
26,Chiroptera ,Vespertilionidae ,"Myotis (Myotis) blythii (Tomes, 1857)","(Ibrahimi et al., 2019)"
27,Chiroptera ,Vespertilionidae ,"Myotis capaccinii (Bonaparte, 1837)","(Ibrahimi et al., 2019)"
28,Chiroptera ,Vespertilionidae ,"Myotis daubentonii (Kuhl, 1817)","(Ibrahimi et al., 2019)"
29,Chiroptera ,Vespertilionidae ,"Myotis emarginatus (Ã‰. Geoffroy, 1806)","(Presetnik et al., 2018)"
30,Chiroptera ,Vespertilionidae ,"Myotis myotis (Borkhausen, 1797)","(Ibrahimi et al., 2019)"
31,Chiroptera ,Vespertilionidae ,"Myotis mystacinus (Kuhl, 1817)","(Ibrahimi et al., 2019)"
32,Chiroptera ,Vespertilionidae ,"Myotis nattereri (Kuhl, 1817)","(Ibrahimi et al., 2019)"
33,Chiroptera ,Vespertilionidae ,"Nyctalus leisleri (Kuhl, 1817)","(Battersby, 2010)"
34,Chiroptera ,Vespertilionidae ,"Nyctalus noctula (Schreber, 1774) ","(Presetnik et al., 2018)"
35,Chiroptera ,Vespertilionidae ,"Pipistrellus kuhlii (Kuhl, 1817)","(Presetnik et al., 2018)"
36,Chiroptera ,Vespertilionidae ,"Pipistrellus nathusii (Keyserling & Blasius, 1839)","(Battersby, 2010)"
37,Chiroptera ,Vespertilionidae ,"Pipistrellus pipistrellus (Schreber, 1774)","(Ibrahimi et al., 2019)"
38,Chiroptera ,Vespertilionidae ,"Pipistrellus pygmaeus (Leach, 1825)","(Ibrahimi et al., 2019)"
39,Chiroptera ,Vespertilionidae ,"Plecotus auritus (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
40,Chiroptera ,Vespertilionidae ,"Plecotus austriacus (Fischer, 1829)","(Ibrahimi et al., 2019)"
41,Chiroptera ,Vespertilionidae ,"Vespertilio murinus Linnaeus, 1758","(Ibrahimi et al., 2019)"
42,Eulipotyphla,Erinaceinae ,"Erinaceus roumanicus Barret-Hamilton, 1900","(Ibrahimi et al., 2019)"
43,Eulipotyphla,Soricidae ,"Crocidura leucodon (Hermann, 1780)","(Aulagnier et al., 2009)"
44,Eulipotyphla,Soricidae ,"Crocidura suaveolens (Pallas, 1811)","(Aulagnier et al., 2009)"
45,Eulipotyphla,Soricidae ,"Neomys anomalus (Cabrera, 1907)","(Aulagnier et al., 2009)"
46,Eulipotyphla,Soricidae ,"Neomys fodiens (Pennant, 1771)","(Aulagnier et al., 2009)"
47,Eulipotyphla,Soricidae ,"Sorex araneus (Linnaeus, 1758)","(University of Prishtina, n.d.)"
48,Eulipotyphla,Soricidae ,"Sorex minutus (Linnaeus, 1766)","(Aulagnier et al., 2009)"
49,Eulipotyphla,Talpidae ,"Talpa caeca Savi, 1822","(Ibrahimi et al., 2019)"
50,Eulipotyphla,Talpidae ,"Talpa europaea (Linnaeus, 1758)","(Aulagnier et al., 2009)"
51,Lagomorpha ,Leporidae ,"Lepus europaeus Pallas, 1778","(Ibrahimi et al., 2019)"
52,Rodentia,Cricetidae ,"Clethrionomys glareolus (Schreber, 1780)","(Aulagnier et al., 2009)"
53,Rodentia,Cricetidae,"Microtus subterraneus (de Selys-Longchamps, 1836)","(Aulagnier et al., 2009)"
54,Rodentia ,Cricetidae ,"Microtus arvalis (Pallas, 1778) ","(Aulagnier et al., 2009)"
55,Rodentia ,Cricetidae ,"Microtus mystacinus (de Filippi, 1865) ","(Aulagnier et al., 2009)"
56,Rodentia,Gliridae,"Dryomys nitedula (Pallas, 1778)","(Aulagnier et al., 2009)"
57,Rodentia ,Gliridae ,"Glis glis (Linnaeus, 1766)","(Ibrahimi et al., 2019)"
58,Rodentia,Gliridae,"Muscardinus avellanarius (Linnaeus, 1758)","(Aulagnier et al., 2009)"
59,Rodentia,Muridae,"Mus musculus domesticus (Schwarz and Schwarz, 1943)","(Aulagnier et al., 2009)"
60,Rodentia,Muridae,"Rattus norvegicus (Berkenhout, 1769)","(Aulagnier et al., 2009)"
61,Rodentia,Muridae,"Rattus rattus (Linnaeus, 1758)","(Aulagnier et al., 2009)"
62,Rodentia ,Muridae,"Apodemus agrarius (Pallas, 1771)","(Aulagnier et al., 2009)"
63,Rodentia ,Muridae,"Apodemus flavicollis (Melchio, 1834)","(Ibrahimi et al., 2019)"
64,Rodentia ,Muridae,"Apodemus sylvaticus (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
65,Rodentia ,Muridae,"Micromys minutus (Pallas, 1771)","(Aulagnier et al., 2009)"
66,Rodentia ,Sciuridae ,"Sciurus vulgaris Linnaeus, 1758","(Ibrahimi et al., 2019)"
67,Rodentia,Spalacidae,"Nannospalax leucodon (Nordmann, 1840)","(Aulagnier et al., 2009)"