Nr,Klasa:,Rendi,Familja,Lloji,Referenca
1,Arachnida,Opiliones,Dicranolasmatidae,"Dicranolasma scabrum (Herbst, 1799)","(Kury et al., 2024)"
2,Arachnida,Opiliones,Nemastomatidae,"Carinostoma ornatum (Hadži, 1940)","(Kury et al., 2024)"
3,Arachnida,Opiliones,Nemastomatidae,"Pyza bosnica (Roewer, 1919)","(Kury et al., 2024)"
4,Arachnida,Opiliones,Phalangiidae,"Amilenus aurantiacus (Simon, 1881)","(Kury et al., 2024)"
5,Arachnida,Opiliones,Phalangiidae,"Metaplatybunus strigosus (Koch, 1867)","(Kury et al., 2024)"
6,Arachnida,Opiliones,Phalangiidae,"Opilio ruzickai Šilhavý, 1938","(Kury et al., 2024)"
7,Arachnida,Opiliones,Sclerosomatidae,"Gyas titanus Simon, 1879","(Kury et al., 2024)"
8,Arachnida,Opiliones,Sironidae,"Cyphophthalmus klisurae (Hadži, 1973)","(Kury et al., 2024)"
9,Arachnida,Opiliones,Trogulidae,"Trogulus banaticus Avram, 1971","(Kury et al., 2024)"
10,Bivalvia ,Unionida,Unionidae,"Unio crassus (Philipsson, 1788)","(Ibrahimi et al., 2019)"
11,Branchiopoda,Anostraca,Chirocephalidae,"Chirocephalus diaphanus Prévost, 1803","(Schabetsberger et al., 2020)"
12,Branchiopoda,Cladocera,Daphniidae,"Daphnia longispina (Müller, 1776)","(Schabetsberger et al., 2020)"
13,Branchiopoda,Cladocera,Daphniidae,"Daphnia rosea Sars, 1862","(Schabetsberger et al., 2020)"
14,Chromadorea,Enoplida,Rhabdolaimidae,"Rhabdolaimus cf. terrestris de Man, 1880","(Schabetsberger et al., 2020)"
15,Chromadorea,Monhysterida,Monhysteridae,"Eumonhystera cf. barbata Andrássy, 1981","(Schabetsberger et al., 2020)"
16,Chromadorea,Monhysterida,Monhysteridae,"Eumonhystera cf. pseudopulbosa (Daday, 1896) Andrassy, 1981","(Schabetsberger et al., 2020)"
17,Clitellata,Arhynchobdellida,Erpobdellidae,"Dina prokletijaca (Grosser & Pešić, 2016)","(Ibrahimi et al., 2019)     "
18,Clitellata,Rhynchobdellida,Glossiphoniidae,"Glossiphonia balcanica (Grosser & Pešić, 2016)","(Ibrahimi et al., 2019)"
19,Copepoda,Calanoida,Diaptomidae,"Mixodiaptomus tatricus (Wierzejski, 1883)","(Schabetsberger et al., 2020)"
20,Diplopoda,Chordeumatida,Craspedosomatidae,"Dyocerasoma drimicum Mrsic, 1985","(Ibrahimi et al., 2019)"
21,Diplopoda,Glomerida,Glomeridae,"Onychoglomeris herzogowinensis (Verhoeff, 1898)","(Ibrahimi et al., 2019)"
22,Diplopoda,Glomerida,Glomeridae,"Typhloglomeris ljubetensis (Attems, 1929)","(Ibrahimi et al., 2019)"
23,Diplopoda,Glomerida,Glomeridae,"Typhloiulus albanicus Attems, 1929","(Ibrahimi et al., 2019)"
24,Diplopoda,Julida,Julidae,"Leptoiulus macedonicus (Attems, 1927)","(Ibrahimi et al., 2019)"
25,Diplopoda,Julida,Julidae,"Megaphyllum crassum (Attems, 1929)","(Ibrahimi et al., 2019)"
26,Diplopoda,Polydesmida,Polydesmidae,"Brachydesmus jalzici (Mrsic, 1988)","(Ibrahimi et al., 2019)"
27,Diplopoda,Polydesmida,Polydesmidae,"Brachydesmus ljubetensis Attems, 1912","(Ibrahimi et al., 2019)"
28,Diplopoda,Polydesmida,Polydesmidae,"Polydesmus undeviginti Strasser, 1971","(Ibrahimi et al., 2019)"
29,Gastropoda,Littorinimorpha,Bythinellidae,"Bythinella drimica alba Radoman, 1976","(Płóciennik et al., 2023)"
30,Gastropoda,Littorinimorpha,Bythinellidae,"Bythinella istoka Glöer & Pešić, 2014","(Płóciennik et al., 2023)"
31,Gastropoda,Littorinimorpha,Hydrobiidae,"Belgrandiella bumasta (Schutt, 1960)","(Ibrahimi et al., 2019)"
32,Gastropoda,Littorinimorpha,Hydrobiidae,"Plagigeyeria gladilini (Kušcer, 1937)","(Ibrahimi et al., 2019)"
33,Gastropoda,Littorinimorpha,Hydrobiidae,"Saxurinator schlickumi (Schütt, 1960)","(Ibrahimi et al., 2019)"
34,Gastropoda,Littorinimorpha,Hydrobiidae,"Terranigra kosovica (Radoman, 1978)","(Ibrahimi et al., 2019)"
35,Gastropoda,Littorinimorpha,Moitessieriidae,"Iglica illyrica (Schütt, 1975)","(Ibrahimi et al., 2019)"
36,Gastropoda,Stylommataphora,Clausiliidae,"Herilla illyrica (Moellendorff, 1899)","(Ibrahimi et al., 2019)"
37,Gastropoda,Stylommataphora,Clausiliidae,"Macedonica frauenfeldi (Rossmässler, 1856)","(Ibrahimi et al., 2019)"
38,Gastropoda,Stylommataphora,Clausiliidae,"Montenegrina sporadica (H. Nordsieck, 1974)","(Ibrahimi et al., 2019)"
39,Gastropoda,Stylommataphora,Clausiliidae,"Protoherilla baleiformis (Boettger, 1909)","(Ibrahimi et al., 2019)"
40,Gastropoda,Stylommataphora,Clausiliidae,"Protoherilla pseudofallax (Nordsieck, 1972)","(Ibrahimi et al., 2019)"
41,Gastropoda,Stylommataphora,Clausiliidae,"Strigilodelima pentheri (A.J. Wagner, 1919)","(Ibrahimi et al., 2019)"
42,Gastropoda,Stylommataphora,Clausiliidae,"Triloba sandrii (Küster, 1844)","(Ibrahimi et al., 2019)"
43,Gastropoda,Stylommataphora,Helicidae,"Campylaea ljubetenensis (A. J. Wagner, 1914)","(Ibrahimi et al., 2019)"
44,Gastropoda,Stylommataphora,Helicidae,"Helix dormitoris Kobelt, 1898","(Ibrahimi et al., 2019)"
45,Gastropoda,Stylommataphora,Helicidae,"Helix lucorum Linnaeus, 1758","(Ibrahimi et al., 2024)"
47,Gastropoda,Stylommataphora,Hygromiidae,"Monachoides kosovoensis (De Winter & Maassen, 1992)","(Ibrahimi et al., 2019)"
48,Gastropoda,Stylommataphora,Orculidae,"Orcula wagneri (Sturany, 1914)","(Ibrahimi et al., 2019)"
49,Gastropoda,Stylommataphora,Pristilomatidae,"Vitrea kiliasi (Pintér, 1972)","(Ibrahimi et al., 2019)"
50,Gastropoda,Stylommataphora,Vertiginidae,"Vertigo moulinsiana (Dupuy, 1849)","(Ibrahimi et al., 2019)"
51,Gastropoda,Stylommataphora,Zonitidae,"Paraegopis mauritii (Westerlund, 1886)","(Ibrahimi et al., 2019)"
52,Malacostraca,Amphipoda,Gammaridae,"Gammarus balcanicus Schäferna, 1922","(Kuçi et al., 2017)"
53,Malacostraca,Amphipoda,Gammaridae,"Gammarus fossarum (Linnaeus, 1758)","(Kuçi et al., 2017)"
54,Malacostraca,Amphipoda,Gammaridae,"Gammarus roeselii Gervais, 1835","(Kuçi et al., 2017)"
55,Malacostraca,Decapoda,Astacidae,"Astacus astacus (Linnaeus, 1758)","(International Union for Conservation of Nature, n.d.)"
56,Malacostraca,Decapoda,Astacidae,"Austropotamobius torrentium (Schrank, 1803)","(Ibrahimi et al., 2024)"
57,Malacostraca,Isopoda,Microparasellidae,"Microcharon profundalis (Karaman, 1940)","(Ibrahimi et al., 2019)"
58,Malacostraca,Isopoda,Trichoniscidae,"Alpioniscus metohicus (Pljakic, 1971)","(Ibrahimi et al., 2019)"
59,Oligochaeta ,Opistophora,Lumbricidae,"Allolobophora chlorotica (Savigny, 1826)","(Ibrahimi et al., 2019)"
60,Oligochaeta ,Opistophora,Lumbricidae,"Allolobophora leoni (Michaelsen, 1891)","(Ibrahimi et al., 2019)"
61,Oligochaeta ,Opistophora,Lumbricidae,"Aporrectodea caliginosa (Savigny, 1826)","(Ibrahimi et al., 2019)"
62,Oligochaeta ,Opistophora,Lumbricidae,"Aporrectodea georgii (Michaelsen, 1890)","(Ibrahimi et al., 2019)"
63,Oligochaeta ,Opistophora,Lumbricidae,"Aporrectodea jassyensis (Michaelsen, 1891)","(Ibrahimi et al., 2019)"
64,Oligochaeta ,Opistophora,Lumbricidae,"Aporrectodea smaragdina (Rosa, 1892)","(Ibrahimi et al., 2019)"
65,Oligochaeta ,Opistophora,Lumbricidae,"Dendrobaena alpina (Rosa, 1884)","(Ibrahimi et al., 2019)"
66,Oligochaeta ,Opistophora,Lumbricidae,"Dendrobaena serbica (Karaman, 1973)","(Ibrahimi et al., 2019)"
67,Oligochaeta ,Opistophora,Lumbricidae,"Dendrobaena zicsi (Karaman, 1973)","(Ibrahimi et al., 2019)"
68,Oligochaeta ,Opistophora,Lumbricidae,"Eisenia lucens (Waga, 1857)","(Ibrahimi et al., 2019)"
69,Oligochaeta ,Opistophora,Lumbricidae,"Eophilia kosowensis (Karaman, 1968)","(Ibrahimi et al., 2019)"
70,Oligochaeta ,Opistophora,Lumbricidae,"Proctodrilus tuberculatus (Černosvitov, 1935)","(Ibrahimi et al., 2019)"
71,Rotifera,Ploima ,Brachionidae ,"Anuraeopsis fissa (Gosse, 1851)","(Schabetsberger et al., 2020)"
72,Rotifera,Ploima ,Euchlanidae ,"Euchlanis dilatata (Ehrenberg, 1832)","(Schabetsberger et al., 2020)"
73,Rotifera,Ploima ,Gastropodidae ,"Ascomorpha saltans indica (Koste, 1978)","(Schabetsberger et al., 2020)"
74,Rotifera,Ploima ,Lecanidae ,"Lecane closterocerca (Schmarda, 1859)","(Schabetsberger et al., 2020)"
75,Rotifera,Ploima ,Lecanidae ,"Lecane flexilis (Gosse, 1886)","(Schabetsberger et al., 2020)"
76,Rotifera,Ploima ,Lecanidae ,"Lecane luna (Müller, 1776)","(Schabetsberger et al., 2020)"
77,Rotifera,Ploima ,Lecanidae ,"Lecane lunaris (Ehrenberg, 1832)","(Schabetsberger et al., 2020)"
78,Rotifera,Ploima ,Lepadellidae ,"Colurella obtusa (Gosse, 1886)","(Schabetsberger et al., 2020)"
79,Rotifera,Ploima ,Lepadellidae ,"Lepadella patella (Muller, 1773)","(Schabetsberger et al., 2020)"
80,Rotifera,Ploima ,Mytilinidae ,"Mytilina mucronata (Muller, 1773)","(Schabetsberger et al., 2020)"
81,Rotifera,Ploima ,Notommatidae ,"Cephalodella apocolea (Myers, 1924)","(Schabetsberger et al., 2020)"
82,Rotifera,Ploima ,Notommatidae ,"Cephalodella edax (Hollowday, 1993)","(Schabetsberger et al., 2020)"
83,Rotifera,Ploima ,Notommatidae ,"Cephalodella forficula (Ehrenberg, 1831)","(Schabetsberger et al., 2020)"
84,Rotifera,Ploima ,Notommatidae ,"Cephalodella ventripes (Dixon-Nuttall, 1901)","(Schabetsberger et al., 2020)"
85,Rotifera,Ploima ,Notommatidae ,"Eothinia elongata (Ehrenberg, 1930)","(Schabetsberger et al., 2020)"
86,Rotifera,Ploima ,Notommatidae ,"Pleurotrocha petromyzon (Ehrenberg, 1830)","(Schabetsberger et al., 2020)"
87,Rotifera,Ploima ,Proalidae ,"Proales fallaciosa (Wulfert, 1939)","(Schabetsberger et al., 2020)"
88,Rotifera,Ploima ,Synchaetidae ,"Polyarthra luminosa (Kutikova, 1962)","(Schabetsberger et al., 2020)"
89,Rotifera,Ploima ,Trichocercidae ,"Trichocerca bidens (Lucks, 1912)","(Schabetsberger et al., 2020)"
90,Rotifera,Ploima ,Trichocercidae ,"Trichocerca cf. relicta (Donner, 1950) ","(Schabetsberger et al., 2020)"
91,Rotifera,Ploima ,Trichocercidae ,"Trichocerca rattus (Müller, 1776)","(Schabetsberger et al., 2020)"